relationA,relationshipType,relationB
T_weather,hasEduConcept,scientist
T_climate,hasEduConcept,scientist
T_climate,hasEduConcept,weather
Grade_3,hasEduTopic,T_natural_harzards
Grade_3,hasEduTopic,T_natural
Grade_3,hasEduTopic,T_hazard
T_natural,hasEduConcept,natural
T_hazard,hasEduConcept,hazard
Grade_3,hasEduTopic,T_suffixes
Grade_3,hasEduTopic,T_prefixes
Grade_3,hasEduTopic,T_multisyllable
T_suffixes,hasEduConcept,suffixes
T_prefixes,hasEduConcept,prefixes
T_multisyllable,hasEduConcept,multisyllable
Grade_3,hasEduTopic,T_photograph
Grade_3,hasEduTopic,T_paragraph
T_photograph,hasEduConcept,photograph
T_paragraph,hasEduConcept,paragraph
Grade_4,hasEduTopic,T_operations
Grade_4,hasEduTopic,T_algebra
Grade_4,hasEduTopic,T_number
Grade_4,hasEduTopic,T_base_ten
Grade_4,hasEduTopic,T_fraction
Grade_4,hasEduTopic,T_measurement
Grade_4,hasEduTopic,T_geometry
Grade_4,hasEduTopic,T_energy
T_energy,hasEduConcept,sound
T_energy,hasEduConcept,light
T_energy,hasEduConcept,electric
T_energy,hasEduConcept,current
Grade_4,hasEduTopic,T_natural_resources
T_natural_resources,hasEduConcept,fuel
T_natural_resources,hasEduConcept,renewal
Grade_4,hasEduTopic,T_persuasive
Grade_4,hasEduTopic,T_reason
Grade_4,hasEduTopic,T_firsthand
Grade_4,hasEduTopic,T_chronology
Grade_4,hasEduTopic,T_contrast
Grade_4,hasEduTopic,T_letter
Grade_4,hasEduTopic,T_sound
Grade_4,hasEduTopic,T_morphology
Grade_4,hasEduTopic,T_syllabication
T_persuasive,hasEduConcept,persuasive
T_reason,hasEduConcept,reason
T_firsthand,hasEduConcept,firsthand
T_chronology,hasEduConcept,chronology
T_contrast,hasEduConcept,contrast
T_letter,hasEduConcept,letter
T_sound,hasEduConcept,sound
T_morphology,hasEduConcept,morphology
T_syllabication,hasEduConcept,syllabication
Grade_4,hasEduTopic,T_waves
T_waves,hasEduConcept,motion
T_waves,hasEduConcept,water
T_waves,hasEduConcept,surface
T_waves,hasEduConcept,direction
T_waves,hasEduConcept,amplitude
Grade_4,hasEduTopic,T_information_technology
Grade_4,hasEduTopic,T_information
Grade_4,hasEduTopic,T_technology
T_information_technology,hasEduConcept,information
T_information_technology,hasEduConcept,technology
T_information_technology,hasEduConcept,distance
T_information_technology,hasEduConcept,high_tech
T_information_technology,hasEduConcept,devices
T_information_technology,hasEduConcept,computer
T_information_technology,hasEduConcept,cell
T_information_technology,hasEduConcept,phone
T_information_technology,hasEduConcept,decode
T_information_technology,hasEduConcept,voice
T_information_technology,hasEduConcept,digitize
Grade_4,hasEduTopic,T_electromagnetic_radiation
T_electromagnetic_radiation,hasEduConcept,light
T_electromagnetic_radiation,hasEduConcept,reflection
Grade_4,hasEduTopic,T_information_processing
T_information_processing,hasEduConcept,plants
T_information_processing,hasEduConcept,animals
T_information_processing,hasEduConcept,behavior
T_information_processing,hasEduConcept,reproduction
T_information_processing,hasEduConcept,sense
T_information_processing,hasEduConcept,receptors
T_information_processing,hasEduConcept,brain
T_information_processing,hasEduConcept,perception
T_information_processing,hasEduConcept,memory
Grade_4,hasEduTopic,T_earth_systems
T_earth_systems,hasEduConcept,local
T_earth_systems,hasEduConcept,regional
T_earth_systems,hasEduConcept,global
T_earth_systems,hasEduConcept,rock
T_earth_systems,hasEduConcept,formation
T_earth_systems,hasEduConcept,earthquakes
T_earth_systems,hasEduConcept,fossils
T_earth_systems,hasEduConcept,living
T_earth_systems,hasEduConcept,gravity
T_earth_systems,hasEduConcept,soils
T_earth_systems,hasEduConcept,sediments
T_earth_systems,hasEduConcept,particles
T_earth_systems,hasEduConcept,ice
T_earth_systems,hasEduConcept,wind
Grade_4,hasEduTopic,T_plate_tectonics
T_plate_tectonics,hasEduConcept,mountain
T_plate_tectonics,hasEduConcept,ocean
T_plate_tectonics,hasEduConcept,trench
T_plate_tectonics,hasEduConcept,floor
T_plate_tectonics,hasEduConcept,earthquakes
T_plate_tectonics,hasEduConcept,volcanoes
T_plate_tectonics,hasEduConcept,continent
Grade_4,hasEduTopic,T_biogeology
T_biogeology,hasEduConcept,living
Grade_4,hasEduTopic,T_natural_harzards
T_natural_harzards,hasEduConcept,earthquakes
T_natural_harzards,hasEduConcept,volcanoes
T_natural_harzards,hasEduConcept,tsunamis
T_natural_harzards,hasEduConcept,volcanic
T_natural_harzards,hasEduConcept,eruptions
Grade_4,hasEduTopic,T_treaties
Grade_4,hasEduTopic,T_agriculture
Grade_4,hasEduTopic,T_tribes
Grade_4,hasEduTopic,T_hemispheres
Grade_4,hasEduTopic,T_equator
Grade_4,hasEduTopic,T_poles
Grade_4,hasEduTopic,T_colonization
Grade_4,hasEduTopic,T_division_of_labor
T_division_of_labor,hasEduConcept,division
T_division_of_labor,hasEduConcept,labor
Grade_4,hasEduTopic,T_geography
Grade_4,hasEduTopic,T_economy
Grade_4,hasEduTopic,T_government
T_geography,hasEduConcept,geography
T_economy,hasEduConcept,economy
T_treaties,hasEduConcept,treaties
T_agriculture,hasEduConcept,agriculture
T_tribes,hasEduConcept,tribes
T_hemispheres,hasEduConcept,hemispheres
T_equator,hasEduConcept,equator
T_poles,hasEduConcept,poles
T_colonization,hasEduConcept,colonization
Grade_5,hasEduTopic,T_operations
Grade_5,hasEduTopic,T_algebra
Grade_5,hasEduTopic,T_number
Grade_5,hasEduTopic,T_base_ten
Grade_5,hasEduTopic,T_fraction
Grade_5,hasEduTopic,T_measurement
Grade_5,hasEduTopic,T_geometry
Grade_5,hasEduTopic,T_properties_of_matter
T_properties_of_matter,hasEduConcept,properties
T_properties_of_matter,hasEduConcept,matter
T_properties_of_matter,hasEduConcept,particles
T_properties_of_matter,hasEduConcept,gases
T_properties_of_matter,hasEduConcept,evaporation
T_properties_of_matter,hasEduConcept,condensation
T_properties_of_matter,hasEduConcept,atomic
T_properties_of_matter,hasEduConcept,mechanism
Grade_5,hasEduTopic,T_chemical_reactions
T_chemical_reactions,hasEduConcept,properties
Grade_5,hasEduTopic,T_matter
Grade_5,hasEduTopic,T_energy
Grade_5,hasEduTopic,T_ecosystems
Grade_5,hasEduTopic,T_earth_systems
T_earth_systems,hasEduConcept,hydrosphere
T_earth_systems,hasEduConcept,geosphere
T_earth_systems,hasEduConcept,biosphere
T_earth_systems,hasEduConcept,ecosystem
T_earth_systems,hasEduConcept,landform
T_earth_systems,hasEduConcept,climate
T_earth_systems,hasEduConcept,winds
T_earth_systems,hasEduConcept,cloud
T_earth_systems,hasEduConcept,atmosphere
T_earth_systems,hasEduConcept,glacier
Grade_5,hasEduTopic,T_space_systems
T_space_systems,hasEduConcept,space
T_space_systems,hasEduConcept,system
T_space_systems,hasEduConcept,earth
T_space_systems,hasEduConcept,planet
T_space_systems,hasEduConcept,universe
T_space_systems,hasEduConcept,stars
T_space_systems,hasEduConcept,sun
T_space_systems,hasEduConcept,orbit
T_space_systems,hasEduConcept,moon
T_space_systems,hasEduConcept,rotation
